City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Tinskoy,RU,56.1525,96.9161,26.56,86,100,13.62,overcast clouds
203,Victor Harbor,AU,-35.5667,138.6167,96.46,33,23,7.43,few clouds
204,Puerto Carreno,CO,6.189,-67.4859,82.26,38,82,10.04,broken clouds
205,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,20,8.05,few clouds
206,Saint Anthony,US,45.0205,-93.218,4.93,61,0,1.99,clear sky
207,Kapaa,US,22.0752,-159.319,80.92,50,0,8.05,clear sky
208,Barrow,US,71.2906,-156.7887,-16.58,63,0,0.0,clear sky
209,Pitea,SE,65.3172,21.4794,-11.11,98,60,1.43,broken clouds
210,Puerto Escondido,MX,15.85,-97.0667,81.43,74,40,0.0,scattered clouds
211,Vila Velha,BR,-20.3297,-40.2925,73.94,96,75,2.3,broken clouds
212,Oranjestad,AW,12.524,-70.027,77.92,82,20,4.0,few clouds
213,Cidreira,BR,-30.1811,-50.2056,72.43,72,42,18.05,scattered clouds
214,La Tuque,CA,47.4334,-72.7824,25.05,86,97,2.3,light snow
215,Popondetta,PG,-8.7537,148.2534,88.0,58,88,3.13,overcast clouds
216,Dois Vizinhos,BR,-25.7336,-53.0572,65.84,62,87,2.84,light rain
217,Haines Junction,CA,60.7522,-137.5108,-16.65,69,100,2.3,overcast clouds
218,Katangli,RU,51.7102,143.2326,6.69,93,100,18.72,snow
219,Hualmay,PE,-11.0964,-77.6139,72.27,76,10,11.23,clear sky
220,Ust-Ishim,RU,57.6935,71.1665,3.51,93,61,7.07,broken clouds
221,Raul Soares,BR,-20.1022,-42.4519,70.07,97,100,2.15,very heavy rain
222,Longyearbyen,SJ,78.2186,15.6401,24.64,86,75,8.05,broken clouds
223,Touros,BR,-5.1989,-35.4608,79.7,73,100,13.78,overcast clouds
224,Nome,US,64.5011,-165.4064,5.16,51,0,33.38,clear sky
225,Isetskoye,RU,56.4858,65.3226,0.79,90,24,10.49,few clouds
226,Orlik,RU,52.5178,99.825,-10.75,84,100,2.13,overcast clouds
227,Tame,CO,6.461,-71.73,75.83,59,84,5.7,broken clouds
228,Nanortalik,GL,60.1432,-45.2371,19.89,78,100,34.2,overcast clouds
229,Koslan,RU,63.4564,48.8989,12.09,94,100,6.26,light snow
230,Eureka,US,40.8021,-124.1637,62.2,76,22,1.01,few clouds
231,Thompson,CA,55.7435,-97.8558,-21.84,69,0,8.05,clear sky
232,Maracacume,BR,-2.0428,-45.9592,73.33,96,91,0.92,moderate rain
233,Harindanga,IN,22.0383,88.3214,62.58,63,0,4.21,clear sky
234,Ahipara,NZ,-35.1667,173.1667,74.08,61,100,5.23,overcast clouds
235,Okha,RU,53.5739,142.9478,1.65,93,100,28.5,snow
236,Buenos Aires,AR,-34.6132,-58.3772,82.29,67,0,16.11,clear sky
237,Severo-Kurilsk,RU,50.6789,156.125,30.31,83,70,6.29,broken clouds
